startup_name,startup_amount_invested,startup_article_publication_date,startup_more_inf_url,startup_levée_de_fonds,startup_founders,startup_Number_of_employees,startup_web_site_url,startup_linkedin_url,startup_facebook_url,startup_instagram_url,startup_phone,startup_email,startup_phrasechoc
Velco,5 000 000,24/03/2021,https://www.jaimelesstartups.fr/news/velco-leve-5-millions-deuros-2/,Levée de fonds : 5 000 000,"Fondateurs : Pierre Régnier, Johnny Smith, Romain Savouré",Nombre d'employés : 25,https://www.velco.bike/?utm_source=JaimeLesStartups,,,,,,"VELCO, SOLUTION DE CONNECTIVITÉ POUR DEUX ROUES ÉLECTRIQUES, LÈVE 5 MILLIONS D'EUROS"
DIPONGO,500000,16/03/2021,https://www.jaimelesstartups.fr/dipongo-des-histoires-qui-eveillent-la-creativite-de-nos-enfants/,Levée de fonds : 500000,"Fondateurs : Gras Emmanuelle, Peret Marion",Nombre d'employés : 8,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=DIPONGO,https://www.linkedin.com/company/dipongo,https://www.facebook.com/dipongo,,,,LA STARTUP DIPONGO CRÉES DES HISTOIRES SUR TABLET QUI ÉVEILLENT LA CRÉATIVITÉ DE NOS ENFANTS.
"Artifakt lève 3,7 millions d’euros","3,7 millions d'euros",23/03/2021,https://www.jaimelesstartups.fr/news/artifakt-leve-37-millions-deuros/,"Levée de fonds : 3,7 millions d'euros",Fondateurs : Aymeric Aitamer,,https://www.artifakt.com/?utm_source=JaimeLesStartups,,,,,,"ARTIFAKT LÈVE 3,7 MILLIONS D’EUROS POUR RENDRE LE WEB ENCORE PLUS PERFORMANT ET AGILE"
"BioDemain annonce une levée 1,2 millions d’euros",1 200 000,26/03/2021,https://www.jaimelesstartups.fr/news/biodemain-annonce-une-levee-12-millions-deuros/,Levée de fonds : 1 200 000,Fondateurs : Maxime Durand et Stéphane Delebassé,Nombre d'employés : 10,https://www.biodemain.fr/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/13056262/admin/,https://www.facebook.com/BioDemain,,,,"BIODEMAIN LÈVE 1,2 MILLIONS D’EUROS POUR AIDER LES AGRICULTEURS À PASSER AU BIO"
GAIAGO,700k€,19/03/2021,https://www.jaimelesstartups.fr/gaiago-a-concu-des-produits-afin-de-retablir-les-equilibres-mineraux-et-micro-biologiques-des-sols-agricoles/,Levée de fonds : 700k€,"Fondateurs : Samuel MARQUET, Francis BUCAILLE",Nombre d'employés : 42,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=GAIAGO,https://www.linkedin.com/company/26692154,https://www.facebook.com/gaiago.eu,,,,LA STARTUP GAIAGO A MIS AU POOINT DES PRODUITS POUR RÉTABLIR LES ÉQUILIBRES MINÉRAUX ET MICRO-BIOLOGIQUES DES SOLS AGRICOLES.
The Ramp,NC,26/03/2021,https://www.jaimelesstartups.fr/the-ramp-gerer-toutes-les-campagnes-de-publicite-de-vos-points-de-vente/,Levée de fonds : NC,Fondateurs : Romain Achard & Eric Giordano,Nombre d'employés : 23,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=The%20Ramp,https://www.linkedin.com/company/theramp/,https://www.facebook.com/TheRampCo/,,,,THE RAMP EST UN SAAS POUR GÉRER LES CAMPAGNES PUBLICITAIRES POUR TOUTES LES FILIALES D’UN RÉSEAU.
PLEDG annonce une levée de 80 millions d’euros,80 000 000,19/03/2021,https://www.jaimelesstartups.fr/news/pledg-annonce-une-levee-de-80-millions-deuros/,Levée de fonds : 80 000 000,Fondateurs : Nicolas Pelletier et Benoît Liénart,Nombre d'employés : 30,https://pledg.co/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/pledg/about/,,,,,LA FINTECH PLEDG LÈVE 80 MILLIONS D’€ POUR IMPOSER SA SOLUTION BNPL
Hello Syndic annonce une levée de fonds de 2 millions d’euros,2 millions d'Euros,08/04/2021,https://www.jaimelesstartups.fr/news/hello-syndic-annonce-une-levee-de-fonds-de-2-millions-deuros/,Levée de fonds : 2 millions d'Euros,Fondateurs : Mikael Asseraf et Eytan Koren,Nombre d'employés : 45,https://www.hello-syndic.fr/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/hellosyndic/,https://www.facebook.com/HelloSyndic,,,,"HELLO SYNDIC, LEADER DES NEO-SYNDICS, ANNONCE UN FINANCEMENT DE 2 MILLIONS D'EUROS"
Meet My Mama,2 800 000,29/03/2021,https://www.jaimelesstartups.fr/meet-my-mama-traiteur-engage-et-ecole-de-formation-de-cuisine/,Levée de fonds : 2 800 000,"Fondateurs : Donia Souad Amamra, Loubna Ksibi, Youssef Oudahman",Nombre d'employés : 18,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Meet%20My%20Mama,https://www.linkedin.com/company/11090277/admin/,https://www.facebook.com/meetmymama,,,,"LA STARTUP MEET MY MAMA FAIT D’UNE PIERRE DEUX COUPS : D’UN CÔTÉ C’EST UN TRAITEUR SPÉCIALISÉ DANS LES CUISINES DU MONDE, DE L’AUTRE C’EST UNE ASSOCIATION QUI ACCOMPAGNE LES FEMMES"
Tylko,22 000 000 €,29/03/2021,https://www.jaimelesstartups.fr/news/tylko/,Levée de fonds : 22 000 000 €,,,https://tylko.com/fr/?utm_source=JaimeLesStartups,,,,,,"LA STARTUP MONTANTE POLONAISE TYLKO, SPÉCIALISTE DE LA VENTE DE MEUBLES 100% DIGITAL, VIENT D’ANNONCER UNE LEVÉE DE FONDS DE 22 MILLIONS D'EUROS EN SÉRIE C"
Medene,150000,02/04/2021,https://www.jaimelesstartups.fr/medene-huiles-essentielles-et-vegetales-100-bio/,Levée de fonds : 150000,Fondateurs : Laure de Lacaze / Camille Pereira / Marie-Claire Kanaan,Nombre d'employés : 10,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Medene,https://www.linkedin.com/company/18675633,https://www.facebook.com/medene.paris/,,,,LA STARTUP MEDENE CONÇOIT DES HUILES ESSENTIELLES ET VÉGÉTALES 100% BIO.
EPYCURE,"2,5",08/04/2021,https://www.jaimelesstartups.fr/epycure-cure-personnalisee-de-vitamines/,"Levée de fonds : 2,5","Fondateurs : Paul-Etienne Jacob, Angélique D'Esclaibes, Marc Menasé,",Nombre d'employés : 20,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=EPYCURE,https://www.linkedin.com/company/epycure/,https://www.facebook.com/epycurevitamins/,,,,LA STARTUP EPYCURE PROPOSE UNE CURE PERSONNALISÉE DE VITAMINES.
MerciApp,850000,06/04/2021,https://www.jaimelesstartups.fr/merciapp-correcteur-orthographique/,Levée de fonds : 850000,"Fondateurs : Arthur Ollier,Hervé Droit,Eric Ly,Nathan Thomassin, Roger Rainero,Wanda Rzewuski",Nombre d'employés : 9,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=MerciApp,https://www.linkedin.com/company/merciapp/,https://www.facebook.com/correcteurmerciapp,,,,LA STARTUP MERCIAPP A CONÇU UN CORRECTEUR ORTHOGRAPHIQUE QUI SE CHARGE AUSSI DE VOTRE GRAMMAIRE ET DE VOTRE STYLE !
Vybe,2 400 000 €,07/04/2021,https://www.jaimelesstartups.fr/news/vybe-leve-2-4-millions-deuros/,Levée de fonds : 2 400 000 €,"Fondateurs : Vincent Jouanne, Canelle Chokron, Maxence Cornet, Alexandre Pidault",,https://vybecard.com/fr-fr?utm_source=JaimeLesStartups,,,,,,VYBE LÈVE 2.4 MILLIONS D'EUROS D'EXTENSION POUR ACCÉLÉRER SA CROISSANCE.
Atelier Unes annonce une levée de fond de 400 000€,400 000€,01/04/2021,https://www.jaimelesstartups.fr/news/atelier-unes-annonce-une-levee-de-fond-de-400-000-euros/,Levée de fonds : 400 000€,Fondateurs : Matthieu Jungfer & Violette Dedeban,Nombre d'employés : 7,https://www.atelier-unes.com/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/atelier-unes/,https://www.facebook.com/atelier.unes,,,,"ATELIER UNES, LA MARQUE DE MODE ÉTHIQUE ET COLLABORATIVE, LÈVE 400 000 EUROS POUR EN FINIR AVEC LA MODE JETABLE"
Sensaterra annonce une levée de 1 million d’euros,1 000 000,06/04/2021,https://www.jaimelesstartups.fr/news/sensaterra-annonce-une-levee-de-1-million-deuros/,Levée de fonds : 1 000 000,"Fondateurs : Camille Rodriguez, Maxence Béguin, Clément Marty, Denis Fayolle",Nombre d'employés : 16,https://www.sensaterra.com/fr-FR/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/sensaterra/mycompany/?viewAsMember=true,https://www.facebook.com/Sensaterra-117896650129075/,,,,SENSATERRA LÈVE 1 MILLION€ POUR SE DÉVELOPPER EN EUROPE SUR LE SECTEUR DES BOISSONS CHAUDES
EODev,20 000 000,09/04/2021,https://www.jaimelesstartups.fr/news/eodev-accueille-toyota-a-son-capital/,Levée de fonds : 20 000 000,,,https://www.eo-dev.com/fr/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/eo-dev/,,,,,INDUSTRIE HYDROGÈNE : EODEV CONSOLIDE SA POSITION AVEC L’ENTRÉE DE TOYOTA À SON CAPITAL
GLIMPS annonce une levée de fonds de 6 millions d’euros,6 Millions d'Euros,21/04/2021,https://www.jaimelesstartups.fr/news/glimps-annonce-une-levee-de-fonds-de-6-millions-deuros/,Levée de fonds : 6 Millions d'Euros,Fondateurs : Cyrille VIGNON - Frédéric GRELOT - Jéremy BOUETARD - Valérian COMITI,Nombre d'employés : 17,https://www.glimps.fr/index.php/language/fr/538-2/index.html?utm_source=JaimeLesStartups,https://www.linkedin.com/company/glimpsre,,,,,"GLIMPS, JEUNE ENTREPRISE DE CYBERSÉCURITÉ, BOUCLE UNE LEVÉE DE FONDS DE 6 MILLIONS D’EUROS"
"IMAGEENS annonce une evée de fonds d’1,2 millions d’euros",1 200 000,16/04/2021,https://www.jaimelesstartups.fr/news/imageens-annonce-une-evee-de-fonds-d12-millions-deuros/,Levée de fonds : 1 200 000,,,https://www.imageens.com/?utm_source=JaimeLesStartups,,,,,,"IMAGEENS LÈVE 1,2 MILLION D'EUROS POUR LE LANCEMENT DE SES DEUX PREMIERS PRODUITS"
TRUSTOO annonce une levée de fonds de 900 000 euros,900 000 €,15/04/2021,https://www.jaimelesstartups.fr/news/trustoo-annonce-une-levee-de-fonds-de-900-000-euros/,Levée de fonds : 900 000 €,Fondateurs : Maxence Ghintran et Alexis Harnist,Nombre d'employés : 5 collaborateurs,https://trustoo.fr/?utm_source=JaimeLesStartups,https://fr.linkedin.com/company/trustoo,https://www.facebook.com/trustoocontact/,,,,LA START-UP TRUSTOO LÈVE 900 000 EUROS POUR ACCROÎTRE SON DÉVELOPPEMENT.
Coach to CLEEN,50K,21/04/2021,https://www.jaimelesstartups.fr/news/coach-to-cleen/,Levée de fonds : 50K,Fondateurs : Salma Harignordoquy,Nombre d'employés : 3,https://cleen.com/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/coach-to-cleen/?viewAsMember=true,https://www.facebook.com/admincleen,,,,"COACH TO CLEEN, LA 1ÈRE PLATEFORME DE RÉGULATION ÉMOTIONNELLE ET GESTION DE STRESS QUI ACCOMPAGNE LES PERSONNELS DE SANTÉ GRÂCE À LA MÉTHODE INNOVANTE CLEEN, UN ACCÈS UNIQUE AU BIEN-ÊTRE."
Circle Sportswear annonce une levée de fonds d’un million d’euros,1 000 000,19/04/2021,https://www.jaimelesstartups.fr/news/circle-sportswear-annonce-une-levee-de-fonds-dun-million-deuros/,Levée de fonds : 1 000 000,"Fondateurs : Romain Trebuil, Alex Auroux",,https://circlesportswear.com/?utm_source=JaimeLesStartups,,,,,,"CIRCLE SPORTSWEAR, LA MARQUE DE VÊTEMENTS DE SPORT EN ÉCONOMIE CIRCULAIRE, LÈVE 1 MILLION D'EUROS"
Qairn,1 400 000€,16/04/2021,https://www.jaimelesstartups.fr/qairn-outil-de-validation-du-contenu-marketing-saas/,Levée de fonds : 1 400 000€,Fondateurs : Paul-Antoine Tremolet et François Cancelloni,Nombre d'employés : 12,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Qairn,https://www.linkedin.com/company/qairn,,,,,LA STARTUP QAIRN EST SAAS FACILITANT LA VALIDATION DES CONTENUS MARKETING.
My weekend for you,200000,13/04/2021,https://www.jaimelesstartups.fr/my-weekend-for-you-plateforme-invitation-entre-voyageurs-passionnes/,Levée de fonds : 200000,"Fondateurs : Sabine et Benoit Fahy, Fanny de Charentenay, Guillaume Vettu",Nombre d'employés : 4,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=My%20weekend%20for%20you,https://www.linkedin.com/company/my-weekend-for-you/,https://www.facebook.com/MyWeekEndForYou,,,,LA STARTUP MY WEEKEND FOR YOU EST UNE PLATEFORME POUR ORGANISER DES WEEK-ENDS ET PARTAGER DES PASSIONS.
"Curecall annonce une levée de fonds d’1,2 millions €","1,2 millions d'euros",21/04/2021,https://www.jaimelesstartups.fr/news/curecall-annonce-une-levee-de-fonds/,"Levée de fonds : 1,2 millions d'euros",Fondateurs : Mohammed El Bojaddaini (CEO) et Laetitia Ormus (CTO),,https://www.curecall.fr/?utm_source=JaimeLesStartups,,,,,,"CURECALL LÈVE 1,2 MILLIONS € POUR ACCÉLÉRER SON DÉVELOPPEMENT"
Stirweld,2 000 000 €,09/04/2021,https://www.jaimelesstartups.fr/stirweld-soudage-par-friction-malaxage/,Levée de fonds : 2 000 000 €,"Fondateurs : Laurent DUBOURG, Gilles SEVESTRE, Yann MACE",Nombre d'employés : 12,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Stirweld,https://www.linkedin.com/company/stirweld/mycompany/?viewAsMember=true,,,,,LA STARTUP STIRWELD RÉVOLUTIONNE LE MONDE DE LA SOUDURE AVEC UNE NOUVELLE TECHNOLOGIE DE TÊTE DE SOUDAGE.
Hexeko,800 000,15/04/2021,https://www.jaimelesstartups.fr/hexeko-plateforme-davantages-en-nature-pour-les-salaries/,Levée de fonds : 800 000,Fondateurs : Rodolphe Lechat,Nombre d'employés : 6,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Hexeko,https://www.linkedin.com/company/hexeko/,https://www.facebook.com/Hexeko,,,,LA STARTUP HEXEKO EST UNE PLATEFORME D’AVANTAGES EN NATURE POUR LES SALARIÉS
UNSEENLABS annonce une levée de fonds de 20M€ en série B,20M,28/04/2021,https://www.jaimelesstartups.fr/news/unseenlabs-annonce-une-levee-de-fonds-de-20me-en-serie-b/,Levée de fonds : 20M,Fondateurs : Clément Galic et Jonathan Galic,Nombre d'employés : 18,https://unseenlabs.space/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/unseenlabs,,,,,UNSEENLABS ANNONCE UNE LEVÉE DE FONDS DE 20M€ EN SÉRIE B : L’ENTREPRISE RENFORCE SA PLACE DE LEADER EUROPÉEN DE L’INTERCEPTION DE SIGNAUX DE RADIOFRÉQUENCE DEPUIS L’ESPACE ET SE POSITIONNE EN TANT QU’ACTEUR INCONTOURNABLE DU NEW SPACE
Smartlink,3'000'000 USD,29/04/2021,https://www.jaimelesstartups.fr/smartlink-trust-as-a-service/,Levée de fonds : 3'000'000 USD,"Fondateurs : Ben Constanty, Olivier Audino",Nombre d'employés : 14,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Smartlink,https://www.linkedin.com/company/smartlinkso/,https://t.me/smartlinkofficial,,,,LA STARTUP SMARTLINK PROPOSE DE RÉALISER DES PAIEMENTS EN LIGNE SANS PASSER PAR UN TIER GRÂCE À LA BLOCKCHAIN.
"LeHibou annonce une levée de fond 1,8M€",1 800 000,27/04/2021,https://www.jaimelesstartups.fr/news/lehibou-annonce-une-levee-de-fond-18me/,Levée de fonds : 1 800 000,Fondateurs : Christophe de Becdelievre,Nombre d'employés : 35,https://www.lehibou.com/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/5353794/admin/,https://www.facebook.com/leHiboucom/,,,,"LEVÉE DE FOND 1,8M€ POUR S'ÉTENDRE EN RÉGIONS ET À L'INTERNATIONAL"
BlaBlaCar lève 115 millions de dollars,115 millions de dollars,26/04/2021,https://www.jaimelesstartups.fr/news/blablacar-leve-115-millions-de-dollars/,Levée de fonds : 115 millions de dollars,"Fondateurs : Frédéric Mazzella, Nicolas Brusson et Françis Nappez",,https://www.blablacar.fr/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/blablacar/,https://www.facebook.com/blablacar.fr,,,,BLABLACAR LÈVE 115 MILLIONS DE DOLLARS POUR ACCÉLÉRER SA CROISSANCE
MaQuestionMedicale,"1.000.000 et on en refait une actuellement, à vos bourses!",23/04/2021,https://www.jaimelesstartups.fr/maquestionmedicale-plateforme-de-teleconsultation/,"Levée de fonds : 1.000.000 et on en refait une actuellement, à vos bourses!","Fondateurs : Jean Tafazzoli, Xavier Lojacono, Vincent Oeillet, Soufyane Oumri, Hassan Nabil",Nombre d'employés : inf à 10,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=MaQuestionMedicale,https://www.linkedin.com/company/maquestionmedicale-fr,https://www.facebook.com/MaQuestionMedicale.fr/,,,,LA STARTUP MAQUESTIONMEDICALE EST UNE PLATEFORME DE TÉLÉCONSULTATION AVEC UN MEDECIN.
Mt Pelerin,€2 000 000,23/04/2021,https://www.jaimelesstartups.fr/news/mt-pelerin-appli-bridge-wallet/,Levée de fonds : €2 000 000,Fondateurs : Arnaud Salomon,,https://www.mtpelerin.com/fr/chfr?utm_source=JaimeLesStartups,https://www.linkedin.com/company/mt-pelerin/,https://www.facebook.com/mtpelerin/,,,,MT PELERIN LANCE L'INVESTISSEMENT CRYPTO SANS FRAIS SUR SON APPLI BRIDGE WALLET
EasyMile annonce une levée de fonds de 55 millions d’euros,55 000 000€,03/05/2021,https://www.jaimelesstartups.fr/news/easymile-annonce-une-levee-de-fonds-de-55-millions-deuros/,Levée de fonds : 55 000 000€,Fondateurs : Gilbert Gagnaire et Philippe Ligier,Nombre d'employés : 250,https://easymile.com/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/easymile,,,,,EASYMILE LÈVE 55 MILLIONS D'EUROS POUR FAIRE ÉVOLUER COMMERCIALEMENT SES SOLUTIONS AUTONOMES
CURVWAY,75000,26/04/2021,https://www.jaimelesstartups.fr/curvway-snowboards-electriques/,Levée de fonds : 75000,Fondateurs : Marabese Pierre,Nombre d'employés : 1,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=CURVWAY,https://www.linkedin.com/company/curvway,https://www.facebook.com/Curvway,,,,LA STARTUP CURVWAY A CRÉÉ UN MIX ENTRE UN LONGBOARD ET UN SNOWBOARD ÉLECTRIQUES.
MyCarSpot,"1,2 millions d'euros en 2020",22/04/2021,https://www.jaimelesstartups.fr/news/mycarspot-et-idposition-sassocient-pour-developper-le-smart-office/,"Levée de fonds : 1,2 millions d'euros en 2020",Fondateurs : Stéphane Seigneurin et Alexandre Michel,,https://www.mycarspot.io/?utm_source=JaimeLesStartups,,,,,,MYCARSPOT ET IDPOSITION S'ASSOCIENT POUR DÉVELOPPER LE SMART OFFICE
ArtGapi,300 000€,06/05/2021,https://www.jaimelesstartups.fr/artgapi-application-mobile-qui-permet-dexposer-et-vendre-ses-oeuvres-dart/,Levée de fonds : 300 000€,"Fondateurs : Guillaume Tartar, Alexandre Wallyn, Baudouin Lau",Nombre d'employés : 6,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=ArtGapi,https://www.linkedin.com/company/bloom-corporated,https://www.facebook.com/ArtGapi,,,,LA STARTUP ARTGAPI A DÉVELOPPÉ UNE PLATEFORME SOUS FORME D’APPLICATION MOBILE QUI PERMET D’EXPOSER ET VENDRE SES OEUVRES D’ART
Nodalview,"4,1 M",14/05/2021,https://www.jaimelesstartups.fr/nodalview-le-leader-europeen-de-la-communication-visuelle-immobiliere/,"Levée de fonds : 4,1 M","Fondateurs : Thomas Lepelaars, Michaël Ligot",Nombre d'employés : 65,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Nodalview,https://www.linkedin.com/company/nodalview/,https://www.facebook.com/nodalview/,,,,LA STARTUP NODALVIEW A DEVELOPPÉ UNE APP QUI PERMETS AUX AGENTS IMMOBILIER DE CRÉER DES PHOTO VIDÉO POUR METTRE EN VALEUR LEURS BIENS.
SOS ACCESSOIRE,10 millions,06/05/2021,https://www.jaimelesstartups.fr/news/sos-accessoire-annonce-une-levee-10-millions-deuros/,Levée de fonds : 10 millions,Fondateurs : Olivier De Montlivault,Nombre d'employés : 50,https://www.sos-accessoire.com/?utm_source=JaimeLesStartups,,https://www.facebook.com/sosaccessoire/,,,,SOS ACCESSOIRE LÈVE 10 MILLIONS D’EUROS ET RÉALISE LA PLUS IMPORTANTE LEVÉE DE FONDS DANS LE SECTEUR DE L’AUTO-RÉPARATION
ndustrial,5 milions €,07/05/2021,https://www.jaimelesstartups.fr/news/ndustrial-leve-5-millions-deuros/,Levée de fonds : 5 milions €,,,https://www.engieventures.com/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/engie-new-ventures/,,,,,"ENGIE NEW VENTURES ET CLEAN ENERGY VENTURES INVESTISSENT DANS NDUSTRIAL, FOURNISSEUR DE SOLUTIONS DE GESTION DE L’ÉNERGIE POUR L’INDUSTRIE"
Freemaths boucle une levée de fonds d’1.2 millions €,1.2 millions,28/04/2021,https://www.jaimelesstartups.fr/news/freemaths-boucle-une-levee-de-fonds-d1-2-millions/,Levée de fonds : 1.2 millions,Fondateurs : Alain Piller,,https://www.freemaths.fr/?utm_source=JaimeLesStartups,,,,,,FREEMATHS.FR BOUCLE UNE LEVÉE DE FONDS POUR DÉVELOPPER SA CROISSANCE À L'INTERNATIONAL
EDGAR SUITES,104 000 000 €,11/05/2021,https://www.jaimelesstartups.fr/news/edgar-suites-annonce-une-levee-de-fonds-de-104me/,Levée de fonds : 104 000 000 €,"Fondateurs : Xavier O'Quin , Maxime Benoit , Grégoire Benoit",,https://www.edgarsuites.com/?utm_source=JaimeLesStartups,,,,,,"EDGAR SUITES ANNONCE UNE LEVÉE DE FONDS DE 104M€, PARMI LES PLUS IMPORTANTES DU SECTEUR IMMOBILIER, POUR ACCÉLÉRER SA CROISSANCE"
Gotoo France,pas effectuée,11/05/2021,https://www.jaimelesstartups.fr/gotoo-france-marketplace-de-logements-pour-etudiants-etrangers/,Levée de fonds : pas effectuée,Fondateurs : Thomas Boulinguez,Nombre d'employés : 6,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Gotoo%20France,https://www.linkedin.com/company/gotoofrance/?originalSubdomain=fr,https://www.facebook.com/gotoolille/,,,,LA STARTUP GOTOO FRANCE EST UNE MARKETPLACE POUR QUE LES PROPRIÉTAIRES FRANÇAIS LOUENT LEUR LOGEMENT À DES ÉTUDIANTS ÉTRANGERS
Rushmix lève 1 million d’euros,1M€,05/05/2021,https://www.jaimelesstartups.fr/news/rushmix-annonce-une-levee-de-fonds-dun-millions-deuros/,Levée de fonds : 1M€,"Fondateurs : Martin Bothier, Clément Bouteille, Thomas Gallice",,https://www.rushmix.com/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/rushmix/,,,,,1M€ LEVÉ PAR LA START-UP TECH RUSHMIX POUR UN PIVOT B2B RÉUSSI
Prev&Care,1000000€,12/05/2021,https://www.jaimelesstartups.fr/prevcare-plateforme-de-services-pour-les-aidants/,Levée de fonds : 1000000€,"Fondateurs : Guillaume Staub, Matthieu Requenna, Amaury de la Serre",Nombre d'employés : 6,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Prev&Care,https://www.linkedin.com/company/prevandcare/,,,,,LA STARTUP PREV & CARE EST UNE PLATEFORME DE SERVICES DESTINÉS AUX AIDANTS
ViiBE,1200000,05/05/2021,https://www.jaimelesstartups.fr/viibe-plateforme-dassistance-video-pour-support-technique/,Levée de fonds : 1200000,"Fondateurs : Marc Prempain, Charles Demée",Nombre d'employés : 26,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=ViiBE,https://www.linkedin.com/company/viibe-communication,https://www.facebook.com/ViiBECommunication,,,,LA STARTUP VIIBE A CONÇU UNE TECHNOLOGIE D’ASSISTANCE VIDÉO POUR LES SUPPORTS TECHNIQUES DE L’INDUSTRIE.
Myfuture,775 000€,19/05/2021,https://www.jaimelesstartups.fr/myfuture-parcours-orientation-decouverte-metier/,Levée de fonds : 775 000€,Fondateurs : Victor GAEREMYNCK,Nombre d'employés : 12,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Myfuture,https://www.linkedin.com/company/myfuture/,https://www.facebook.com/myfutureapp/,,,,LA STARTUP MYFUTURE PERMET AUX JEUNES DE DÉCOUVRIR DES MÉTIERS AFIN DE LES AIDER DANS LEUR ORIENTATION
Mihy,140 000,21/05/2021,https://www.jaimelesstartups.fr/mihy-plateforme-collaborative-des-experts-comptables-et-de-leurs-clients/,Levée de fonds : 140 000,"Fondateurs : Martin Jacqmin, Alexis Aubreton, Costin Apostol, Thomas Dufermont",Nombre d'employés : 6,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Mihy,https://www.linkedin.com/company/mihy-eu,,,,,LA STARTUP MIHY PROPOSE AUX EXPERTS COMPTABLES UNE PLATEFORME POUR FACILITER LES ÉCHANGES AVEC LEUR CLIENTS.
Epsor lève 20 millions d’euros pour devenir la référence de l’épargne des salariés,20 millions €,25/05/2021,https://www.jaimelesstartups.fr/news/epsor-leve-20-millions-deuros-pour-devenir-la-reference-de-lepargne-des-salaries/,Levée de fonds : 20 millions €,Fondateurs : Julien Niquet et Benjamin Pedrini,Nombre d'employés : 62,https://www.epsor.fr/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/epsor-sas/,https://www.facebook.com/epsor.fr/,,,,LA FINTECH EPSOR SPÉCIALISTE DE L'ÉPARGNE SALARIALE ANNONCE UNE LEVÉE DE FONDS DE 20 MILLIONS D’EUROS
Contentsquare lève 500 millions de dollars,500 millions $,26/05/2021,https://www.jaimelesstartups.fr/news/contentsquare-leve-500-millions-de-dollars/,Levée de fonds : 500 millions $,Fondateurs : Jonathan Cherki,Nombre d'employés : 892,https://contentsquare.com/fr-fr/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/contentsquare/,https://www.facebook.com/ContentsquareGlobal/,,,,"LA LICORNE FRANÇAISE RÉALISE UNE LEVÉE DE FONDS DE 500 MILLIONS DE DOLLARS AVEC UNE VALORISATION À 2,5 MILLIARDS"
Acheel,29 000 000,25/05/2021,https://www.jaimelesstartups.fr/acheel-simplifie-lassurance-habitation-sante-et-animaux/,Levée de fonds : 29 000 000,Fondateurs : Francky Defossé et Ralph Ruimy,Nombre d'employés : 25,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Acheel,https://www.linkedin.com/company/acheel/mycompany/,https://www.facebook.com/acheel.insurance,,,,"LA STARTUP ACHEEL DEMYSTIFIE ET SIMPLIFIE L’ASSURANCE HABITATION, SANTÉ ET ANIMAUX."
TELLUX,"1,3 M €",18/05/2021,https://www.jaimelesstartups.fr/tellux-analyse-des-sols-polues/,"Levée de fonds : 1,3 M €","Fondateurs : Antonin Van Exem, Mélanie Mignot, Paul Honeine",Nombre d'employés : 12,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=TELLUX,https://www.linkedin.com/company/tellux/,,,,,LA STARTUP TELLUX A CRÉÉ UNE SOLUTION POUR DÉTECTER RAPIDEMENT ET À BAS COÛTS LES SOLS POLLUÉS.
